regime,scope,system,seed,t,l1_from_matched,prior_neg,prior_neu,prior_pos,macro_f1
lodo,Finance,mdeberta_dapt,s21,0.5,0.256,0.314,0.422,0.264,0.7952025545342915
lodo,Finance,mdeberta_dapt,s21,0.6,0.3072,0.3072,0.4476,0.2452,0.7947937267313239
lodo,Finance,mdeberta_dapt,s21,0.7,0.3584,0.3004,0.4732,0.2264,0.7938124418129675
lodo,Finance,mdeberta_dapt,s21,0.8,0.4096,0.2936,0.4988,0.2076,0.792211418214972
lodo,Finance,mdeberta_dapt,s21,0.9,0.4608,0.2868,0.5244,0.1888,0.7899124057273045
lodo,Finance,mdeberta_dapt,s21,1.0,0.512,0.28,0.55,0.17,0.786795380432574
lodo,Finance,mdeberta_dapt,s42,0.0,0.0,0.348,0.294,0.358,0.7532333656236636
lodo,Finance,mdeberta_dapt,s42,0.1,0.0512,0.3412,0.3196,0.3392,0.7548916538894912
lodo,Finance,mdeberta_dapt,s42,0.2,0.1024,0.3344,0.3452,0.3204,0.755844878270317
lodo,Finance,mdeberta_dapt,s42,0.3,0.1536,0.3276,0.3708,0.3016,0.7561549548734311
lodo,Finance,mdeberta_dapt,s42,0.4,0.2048,0.3208,0.3964,0.2828,0.7558590830294983
lodo,Finance,mdeberta_dapt,s42,0.5,0.256,0.314,0.422,0.264,0.7549727426374261
lodo,Finance,mdeberta_dapt,s42,0.6,0.3072,0.3072,0.4476,0.2452,0.7534905897027828
lodo,Finance,mdeberta_dapt,s42,0.7,0.3584,0.3004,0.4732,0.2264,0.7513853450080598
lodo,Finance,mdeberta_dapt,s42,0.8,0.4096,0.2936,0.4988,0.2076,0.7486043962723055
lodo,Finance,mdeberta_dapt,s42,0.9,0.4608,0.2868,0.5244,0.1888,0.7450633584401279
lodo,Finance,mdeberta_dapt,s42,1.0,0.512,0.28,0.55,0.17,0.7406350899452327
lodo,Finance,mdeberta_dapt,s87,0.0,0.0,0.348,0.294,0.358,0.7723721402601281
lodo,Finance,mdeberta_dapt,s87,0.1,0.0512,0.3412,0.3196,0.3392,0.7731976093094319
lodo,Finance,mdeberta_dapt,s87,0.2,0.1024,0.3344,0.3452,0.3204,0.7733180041187492
lodo,Finance,mdeberta_dapt,s87,0.3,0.1536,0.3276,0.3708,0.3016,0.7727809132261775
lodo,Finance,mdeberta_dapt,s87,0.4,0.2048,0.3208,0.3964,0.2828,0.7716084445282817
lodo,Finance,mdeberta_dapt,s87,0.5,0.256,0.314,0.422,0.264,0.7697998634904287
lodo,Finance,mdeberta_dapt,s87,0.6,0.3072,0.3072,0.4476,0.2452,0.7673320317239539
lodo,Finance,mdeberta_dapt,s87,0.7,0.3584,0.3004,0.4732,0.2264,0.7641577588270175
lodo,Finance,mdeberta_dapt,s87,0.8,0.4096,0.2936,0.4988,0.2076,0.7602018078843494
lodo,Finance,mdeberta_dapt,s87,0.9,0.4608,0.2868,0.5244,0.1888,0.7553538517296001
lodo,Finance,mdeberta_dapt,s87,1.0,0.512,0.28,0.55,0.17,0.749457022869847
lodo,Finance,mdeberta_ft,s100,0.0,0.0,0.348,0.294,0.358,0.7786895934861303
lodo,Finance,mdeberta_ft,s100,0.1,0.0512,0.3412,0.3196,0.3392,0.7794028949507353
lodo,Finance,mdeberta_ft,s100,0.2,0.1024,0.3344,0.3452,0.3204,0.7795523149405826
lodo,Finance,mdeberta_ft,s100,0.3,0.1536,0.3276,0.3708,0.3016,0.7791911152090475
lodo,Finance,mdeberta_ft,s100,0.4,0.2048,0.3208,0.3964,0.2828,0.7783508629349029
lodo,Finance,mdeberta_ft,s100,0.5,0.256,0.314,0.422,0.264,0.7770444640228713
lodo,Finance,mdeberta_ft,s100,0.6,0.3072,0.3072,0.4476,0.2452,0.7752671727019523
lodo,Finance,mdeberta_ft,s100,0.7,0.3584,0.3004,0.4732,0.2264,0.7729957260927384
lodo,Finance,mdeberta_ft,s100,0.8,0.4096,0.2936,0.4988,0.2076,0.7701853669325512
lodo,Finance,mdeberta_ft,s100,0.9,0.4608,0.2868,0.5244,0.1888,0.7667640379906363
lodo,Finance,mdeberta_ft,s100,1.0,0.512,0.28,0.55,0.17,0.762622270966555
lodo,Finance,mdeberta_ft,s13,0.0,0.0,0.348,0.294,0.358,0.8001789437027234
